"id" "SNPnames" "RDA1" "PC1" "PC2" "PC3" "PC4" "CAP1" "MDS1" "MDS2" "MDS3" "MDS4" "corresponding_file"
1 "1364564000_185" -0.0445053960557951 -0.178739895752983 0.0787416596851954 0.0172551370510557 0.0134377730350292 -0.0204763022504723 -0.0827308380189538 0.0364490615755546 -0.00622545051116698 -0.0062446029431628 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
2 "1364575258_683" 0.0787447392444577 0.177439123885386 0.00534599751707287 0.0784136132708897 -0.0484654478406151 0.0326556055900462 0.0740308027085067 0.0037921458758942 -0.0319935367920766 0.0187896424139725 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
3 "1364616430_295" 0.0319646535972811 0.00339304373246689 -0.100063067192444 0.00348379167363511 -0.0429240771315491 0.0157503662937378 0.00192141824499915 -0.0490478097356055 -0.00469697958227775 0.019453661875648 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
4 "1364624388_550" -0.0432123671510684 0.068192938281987 -0.0304890624575468 0.0442844667841767 0.0393414619183572 -0.0197047417772977 0.031287012351195 -0.0121471917378826 -0.0208253104535545 -0.0175474820250893 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
5 "1364642462_587" -0.0567907260580924 -0.119358784373408 0.0933470898067407 0.0179057736020746 0.0125153537787585 -0.0284004165986121 -0.0604901865476416 0.0466850942218955 -0.00696742060736852 -0.00797570160471579 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
6 "1364571470_58" -0.0469031130923032 0.00530369589112365 -0.0402558011724329 0.00995272046272026 0.0534210011931347 -0.025097704180453 0.0025174877010614 -0.020483692618182 -0.00738348765418479 -0.0283608594033315 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
7 "1364619512_563" -0.0416907618917005 -0.013319448664194 -0.0514453978519956 -0.0127257139537894 0.0589367613032173 -0.0224695289102521 -0.00678337231314074 -0.0276030130215522 0.00444651492064082 -0.0300696215071415 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
8 "1364569704_511" 0.040996961755174 0.0409625343961875 0.0179029457446575 -0.0307029587440516 -0.0189867290505706 0.0136752970233351 0.0139048885003401 0.00528751941200513 0.0103501331644661 0.00537383962570548 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
9 "1364632728_46" -0.0793702541887851 -0.126537121906046 0.0987459565345411 -0.0122186628154526 0.0530201495235175 -0.0276397772333268 -0.0440205395425763 0.0337007876288242 0.00545477979083496 -0.01727086463891 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
10 "1364568812_758" 0.0983698557622301 -0.080477407642311 -0.0101119847557053 0.0270009863283844 -0.0690483000568738 0.0481783050895625 -0.0394388627758361 -0.0041833688113677 -0.0129511858924053 0.0323364572807872 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
11 "1364669369_475" -0.0381694547019127 -0.105556687190104 0.0936195068558428 -0.047112287844269 0.00775915816664263 -0.0205678715138256 -0.0576559360986534 0.0482867263264405 0.0277223668118911 -0.00532000210082484 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
12 "1364588112_273" -0.0968398805866486 0.044188517986347 -0.0662597336210221 -0.0341854169532939 0.0524462293889967 -0.0515115078333026 0.0231396344668606 -0.0356904154097591 0.0150491193813585 -0.0276797527681311 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
13 "1364573307_881" 0.0798341902695032 0.169249708013696 -0.101234335119641 -0.000849244196408473 -0.0240185093418262 0.0237166911363645 0.0506285956258288 -0.0300554215476677 -0.00139822245351903 0.00663738162045382 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
14 "1364655898_43" -0.0241652136842165 -0.0519471770901414 0.06563070576233 0.0029598723977582 -0.0105882121709155 -0.0130156042573093 -0.0284434611329958 0.0349016871931335 0.000796336633593781 0.00543996058428671 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
15 "1364572310_287" -0.00546285129336732 -0.102210792752914 -0.00891230414943391 -0.0335220436777949 -0.00322829608085019 -0.0023360035230503 -0.0436339335080075 -0.00429281150123944 0.0139974653155047 -0.000288698731288678 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
16 "1364650411_154" -0.0151939123438967 0.10326826765616 0.0318761400934053 -0.0130060093108682 0.000912605497741648 -0.00658628472794207 0.0447149177184771 0.0131890064465682 0.00591815662857913 -0.000768586424974266 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
17 "1364611301_601" 0.0406590153238147 0.00967110372237584 -0.0105944661333751 0.00294145483363625 -0.00687559424263013 0.0177848793270076 0.00403026313350937 -0.00422624352340637 -0.00193059150842915 0.00246099845766647 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval"
