"id" "SNPnames" "rda_veganv2.4-3_axis1loading" "rda_veganv2.4-3_PC1" "rda_veganv2.4-3_PC2" "rda_veganv2.4-3_PC3" "rda_veganv2.4-3_PC4" "dbrda_veganv2.4-3_axis1loading" "dbrda_veganv2.4-3_MDS1" "dbrda_veganv2.4-3_MDS2" "dbrda_veganv2.4-3_MDS3" "dbrda_veganv2.4-3_MDS4" "corresponding_file"
1 "1364711173_592" -0.0166998233720676 0.0814289245101184 -0.0436362259724437 0.00470974568161385 0.040777850644242 -0.00258993525203282 0.0134725937651989 -0.00536164898576708 0.000766508738348597 -0.00650059925335258 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
2 "1364622788_699" -0.05096356659908 0.017983893110437 -0.113960354001746 -0.00956362686843827 0.0292282645233869 -0.0143891911077878 0.00385985150148093 -0.0272800854884601 -0.00232903196940929 -0.00498385710682486 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
3 "1364590884_785" 0.0116176706238541 0.0789298115376473 -0.0773950150890433 0.0416813748438153 0.0343307926559144 0.00444353001250275 0.0301754508525809 -0.0245937869698094 0.0172868767616451 -0.0105553246821349 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
4 "1364578718_762" -0.0155374924513192 -0.183326432655086 -0.0853894954864356 -0.041304144848094 -0.0534428352091619 -0.00590701564244474 -0.0744388309845107 -0.0230897420471941 -0.0171725633916789 0.0192690636414375 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
5 "1364618993_54" 0.0037323379351657 -0.0692357555106586 -0.00903507913421424 -0.0381366113483581 -0.00194904431524076 0.000784180385160353 -0.0155713845965811 -0.000592162502286049 -0.00837889349804223 -0.00254593362074919 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
6 "1364652169_155" -0.0865764267957239 0.0186063317333552 -0.0288385977022901 -0.0326290129796812 0.0181736556285201 -0.019444958236552 0.00412098620219754 -0.00630282406815016 -0.00534917107863699 -0.00230931310882305 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
7 "1364585474_374" 0.0314493185607854 -0.0507131486592592 -0.0123148757961085 -0.0470521482438402 -0.00543646002754467 0.00687356825020746 -0.0117568007431512 -0.00181526988211466 -0.00675874474846656 -7.90172592109992e-05 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
8 "1364627536_18" -0.0367313472454046 0.115899956170494 -0.0547908519071325 -0.0538840282109347 -0.0570201994415215 -0.0123334416602289 0.0418652288462084 -0.0156644316841815 -0.0195141906850276 0.0151093082648125 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
9 "1364614303_145" 0.0322108349559578 -0.0543448191448912 -0.0300206865465171 -0.024424974307701 -0.025211418821973 0.00982579320169363 -0.0171549681002537 -0.00544128862669598 -0.00716705833689858 0.00202618517819054 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
10 "1364621810_301" 0.0192319468387103 0.0195781516565691 -0.0429031784598271 0.0285387082464452 0.00987230095212249 0.00474155239177005 0.00534367654510012 -0.00557231696209337 0.00643287130640728 -0.0036014776544961 "2R_P90_1351142954_453_2_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
