"id" "SNPnames" "rda_veganv2.4-3_axis1loading" "rda_veganv2.4-3_PC1" "rda_veganv2.4-3_PC2" "rda_veganv2.4-3_PC3" "rda_veganv2.4-3_PC4" "dbrda_veganv2.4-3_axis1loading" "dbrda_veganv2.4-3_MDS1" "dbrda_veganv2.4-3_MDS2" "dbrda_veganv2.4-3_MDS3" "dbrda_veganv2.4-3_MDS4" "corresponding_file"
1 "1364614318_915" -0.00908035752970792 0.0684330912398978 -0.074308599515136 0.00602175927206624 -0.0414918270551568 -0.00254645886645809 0.0215284718517628 0.0151728892581951 -0.00101131143425194 -0.0107635649401406 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
2 "1364691754_979" 0.0242517160318713 0.148917414602707 -0.0972887250657576 0.0078281628860896 -0.00808117065873385 0.00904471984259954 0.0596536667717723 0.0291710416854729 0.000113837229409529 -0.00627908133935055 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
3 "1364652019_72" -0.0255091940102919 -0.0660331564197884 -0.0759369626497688 0.0034876604401062 -0.0363425625199614 -0.009408974632748 -0.0258997522196456 0.022612641296016 0.0035711280939801 -0.0211610016436598 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
4 "1364590263_76" 0.0130654743298913 0.022350057317795 -0.108633645691539 0.03178843627987 -0.00570304680821733 0.00472509668304788 0.0082491939091068 0.0326367891602812 -0.00782101356407323 -0.0083260455902523 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
5 "1364593440_893" 0.0054598656429566 0.0384294102930843 -0.0308713842588597 0.0171400992180534 0.0128414026409985 0.00201270760339296 0.0156601556639107 0.00953666777212768 -0.0056548815836781 0.00157583373560984 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
6 "1364620296_117" -0.00607455233017279 0.0606170912126446 -0.0711860333518253 -0.00525974431340236 -0.00598888463619659 -0.00226294945142362 0.0243413669128109 0.0233547759027023 0.00434757915991682 0.00165018091998568 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
7 "1364579139_312" -0.0419650148659159 0.156431510489356 -0.0251855736547337 0.021779693322064 -0.0543890918551338 -0.0105144394934583 0.0425190537513448 0.00395543634347054 -0.00543247204385855 -0.0165823983627084 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
8 "1364601128_618" -0.0507757336486313 -0.0117842396877793 -0.0575418889294385 -0.00645667092515489 0.0168597160493454 -0.0144211140392743 -0.00403168009665008 0.0135109155832234 0.00308789149916766 0.00838837639319054 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
9 "1364574893_423" -0.0116390099194294 -0.0424823439785643 -0.0347992011424078 0.0200642270600072 0.0950484035226399 -0.00432898257291368 -0.0150488851263857 0.011263718028943 -0.00822180977434189 0.0322021428238694 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
10 "1364579525_435" 0.0147833286406069 0.028605895509126 -0.0915257667442018 0.00874398071059142 0.000549476486825421 0.00550817125667866 0.0122467669249478 0.0275059088545129 -0.00507929598186598 5.55673738116493e-05 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
11 "1364632656_69" 0.0108134918879122 -0.106206066769746 -0.010176223080992 -0.005317583734103 -0.00496357695236618 0.00243960193251932 -0.0265108377263467 0.00129696455123956 0.0020502083974639 -0.00551011988401003 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
12 "1364612661_369" 0.0168856119221882 -0.0971890159796539 -0.0469635696322979 0.00111468765611993 0.000857047358895222 0.00465187625105577 -0.0281286124806884 0.0113541807405813 0.000115461942728004 5.98307480728494e-05 "2R_T90.9x10s_1351142970_988_6_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval"
